FractureX[m],FractureY[m],FractureZ[m],FractureRadius[m],Area[m2],Trend[deg],Plunge[deg],Strike[deg],Dip_Angle[deg],Aperture[m],Permeability[m2],Compressibility[1/kPa]
335629.0,4263210.0,-783.0,87.0,24031.0,102.0,6.8,192.0,83.2,0.0002,3.33e-09,5e-06
335623.0,4263163.0,-746.0,36.0,4010.0,92.2,8.8,182.2,81.2,0.0002,3.33e-09,5e-06
335630.0,4263256.0,-839.0,32.0,3280.0,94.2,20.4,184.2,69.6,0.0002,3.33e-09,5e-06
335627.0,4263217.0,-773.0,60.0,11137.0,100.5,5.9,190.5,84.1,0.0002,3.33e-09,5e-06
335626.0,4263243.0,-803.0,75.0,17464.0,100.8,7.8,190.8,82.2,0.0002,3.33e-09,5e-06
335577.0,4263059.0,-873.0,16.0,756.0,306.4,3.3,36.4,86.7,0.0002,3.33e-09,5e-06
335618.0,4263136.0,-762.0,42.0,5672.0,306.8,6.7,36.8,83.3,0.0002,3.33e-09,5e-06
335636.0,4263268.0,-814.0,54.0,9210.0,92.2,7.3,182.2,82.7,0.0002,3.33e-09,5e-06
335625.0,4263172.0,-761.0,48.0,7228.0,102.7,1.1,192.7,88.9,0.0002,3.33e-09,5e-06
335624.0,4263314.0,-857.0,26.0,2057.0,293.1,4.4,23.1,85.6,0.0002,3.33e-09,5e-06
335731.0,4263134.0,-883.0,50.0,7854.0,290.0,0.0,20.0,90.0,0.0002,3.33e-09,5e-06
335731.0,4263134.0,-858.0,50.0,7854.0,100.0,90.0,190.0,0.0,0.0002,3.33e-09,5e-06
